run_id,axis,variant,k,seed,layer,period,share_pct
A_k12_s3,A_seeds,reference_prepro,12,3,operational,2023-2026,31.251661128699954
A_k12_s3,A_seeds,reference_prepro,12,3,institutional,2007-2014,47.09479595221637
A_k12_s3,A_seeds,reference_prepro,12,3,institutional,2015-2018,39.402602521295194
A_k12_s3,A_seeds,reference_prepro,12,3,institutional,2019-2022,45.1824834017235
A_k12_s3,A_seeds,reference_prepro,12,3,institutional,2023-2026,47.608146491139294
A_k12_s3,A_seeds,reference_prepro,12,3,technology,2007-2014,8.773302727058763
A_k12_s3,A_seeds,reference_prepro,12,3,technology,2015-2018,7.2730091668745445
A_k12_s3,A_seeds,reference_prepro,12,3,technology,2019-2022,12.573175148564689
A_k12_s3,A_seeds,reference_prepro,12,3,technology,2023-2026,17.410075584780316
A_k12_s3,A_seeds,reference_prepro,12,3,meta,2007-2014,1.383060980697337
A_k12_s3,A_seeds,reference_prepro,12,3,meta,2015-2018,4.691517346273031
A_k12_s3,A_seeds,reference_prepro,12,3,meta,2019-2022,8.494407983792675
A_k12_s3,A_seeds,reference_prepro,12,3,meta,2023-2026,3.730120507888538
A_k12_s42,A_seeds,reference_prepro,12,42,operational,2007-2014,58.881324232728126
A_k12_s42,A_seeds,reference_prepro,12,42,operational,2015-2018,57.87215310296233
A_k12_s42,A_seeds,reference_prepro,12,42,operational,2019-2022,49.03091723121179
A_k12_s42,A_seeds,reference_prepro,12,42,operational,2023-2026,32.193307042704575
A_k12_s42,A_seeds,reference_prepro,12,42,institutional,2007-2014,25.33816869745351
A_k12_s42,A_seeds,reference_prepro,12,42,institutional,2015-2018,30.62420249061688
A_k12_s42,A_seeds,reference_prepro,12,42,institutional,2019-2022,30.31635907101089
A_k12_s42,A_seeds,reference_prepro,12,42,institutional,2023-2026,35.71450391089759
A_k12_s42,A_seeds,reference_prepro,12,42,technology,2007-2014,15.505247408752135
A_k12_s42,A_seeds,reference_prepro,12,42,technology,2015-2018,8.796027778425923
A_k12_s42,A_seeds,reference_prepro,12,42,technology,2019-2022,16.7592950906611
A_k12_s42,A_seeds,reference_prepro,12,42,technology,2023-2026,24.227678754395278
A_k12_s42,A_seeds,reference_prepro,12,42,meta,2007-2014,0.27526021252318367
A_k12_s42,A_seeds,reference_prepro,12,42,meta,2015-2018,2.7076194641631446
A_k12_s42,A_seeds,reference_prepro,12,42,meta,2019-2022,3.893430863859572
A_k12_s42,A_seeds,reference_prepro,12,42,meta,2023-2026,7.864510822681344
A_k12_s7,A_seeds,reference_prepro,12,7,operational,2007-2014,58.49993913701231
A_k12_s7,A_seeds,reference_prepro,12,7,operational,2015-2018,49.85177233043942
A_k12_s7,A_seeds,reference_prepro,12,7,operational,2019-2022,38.59066037305133
A_k12_s7,A_seeds,reference_prepro,12,7,operational,2023-2026,34.35603216913705
A_k12_s7,A_seeds,reference_prepro,12,7,institutional,2007-2014,28.353476502343256
A_k12_s7,A_seeds,reference_prepro,12,7,institutional,2015-2018,29.226162711820507
A_k12_s7,A_seeds,reference_prepro,12,7,institutional,2019-2022,32.804826627899374
A_k12_s7,A_seeds,reference_prepro,12,7,institutional,2023-2026,29.010045074752117
A_k12_s7,A_seeds,reference_prepro,12,7,technology,2007-2014,8.776989210552227
A_k12_s7,A_seeds,reference_prepro,12,7,technology,2015-2018,14.43347707414432
A_k12_s7,A_seeds,reference_prepro,12,7,technology,2019-2022,17.132200320718564
A_k12_s7,A_seeds,reference_prepro,12,7,technology,2023-2026,27.59552044606532
A_k12_s7,A_seeds,reference_prepro,12,7,meta,2007-2014,4.369597739302359
A_k12_s7,A_seeds,reference_prepro,12,7,meta,2015-2018,6.488586667182972
A_k12_s7,A_seeds,reference_prepro,12,7,meta,2019-2022,11.472315607057276
A_k12_s7,A_seeds,reference_prepro,12,7,meta,2023-2026,9.038403530833722
A_k12_s99,A_seeds,reference_prepro,12,99,operational,2007-2014,46.381934974609365
A_k12_s99,A_seeds,reference_prepro,12,99,operational,2015-2018,48.021820989215485
A_k12_s99,A_seeds,reference_prepro,12,99,operational,2019-2022,31.044992788504004
A_k12_s99,A_seeds,reference_prepro,12,99,operational,2023-2026,23.4078076269005
A_k12_s99,A_seeds,reference_prepro,12,99,institutional,2007-2014,32.46276474437764
A_k12_s99,A_seeds,reference_prepro,12,99,institutional,2015-2018,30.78485908536095
A_k12_s99,A_seeds,reference_prepro,12,99,institutional,2019-2022,43.00177439956719
A_k12_s99,A_seeds,reference_prepro,12,99,institutional,2023-2026,50.41651259217588
A_k12_s99,A_seeds,reference_prepro,12,99,technology,2007-2014,21.155305235940126
A_k12_s99,A_seeds,reference_prepro,12,99,technology,2015-2018,21.193319467456604
A_k12_s99,A_seeds,reference_prepro,12,99,technology,2019-2022,25.953235206705155
A_k12_s99,A_seeds,reference_prepro,12,99,technology,2023-2026,26.175684394570453
