doc_id,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,authors,year,title
doc022,0.02696322090923786,6.228026177268475e-05,0.012694225646555424,0.1325352042913437,6.228156416909769e-05,6.227406265679747e-05,0.07858921587467194,6.22786465100944e-05,0.6443433165550232,6.22814113739878e-05,0.09872164577245712,0.005841819103807211,Cepolina e Ghiara,2013,New trends in port strategies. Emerging role for ICT infrastructures
doc023,7.117684435797855e-05,7.11804605089128e-05,0.0394202396273613,7.117209315765649e-05,7.118048233678564e-05,0.04641329497098923,7.118107168935239e-05,0.07023680210113525,0.7340987324714661,7.118225039448589e-05,0.10933272540569305,7.116716733435169e-05,Cerin e Beskovnik,2024,Enhancing Sustainability through the Development of Port Communication Systems A Case Study of the
doc024,9.178651816910133e-05,9.178509208140895e-05,9.17932266020216e-05,9.178445907309651e-05,0.056718043982982635,0.09466110914945602,9.178714390145615e-05,0.7599924206733704,0.08074434101581573,0.007241647690534592,9.178058098768815e-05,9.178250911645591e-05,D. Sarabia-Jácome et al.,2020,Seaport Data Space for Improving Logistic Maritime Operations
doc025,9.272593888454139e-05,9.272261377191171e-05,9.272164606954902e-05,9.273492469219491e-05,9.272195893572643e-05,9.272520401282236e-05,9.272615716326982e-05,9.272782335756347e-05,9.27243527257815e-05,9.27207074710168e-05,0.9989800453186035,9.272426541429013e-05,de Langen & van der Lugt,2017,Institutional reforms of port authorities in the Netherlands
doc026,0.06443004310131073,7.147431460907683e-05,7.14697380317375e-05,7.147671567508951e-05,0.004922239575535059,7.146868301788345e-05,7.147320866351947e-05,7.147189899114892e-05,0.8866276741027832,7.147173164412379e-05,0.04344835504889488,7.146985444705933e-05,Di Vaio e Varriale,2020,Digitalization in the sea-land supply chain experiences from Italy in rethinking the port operation
doc027,0.00011044953862437978,0.1998400092124939,0.00011045045539503917,0.06164512783288956,0.00011045661085518077,0.000110453343950212,0.5462810397148132,0.057754628360271454,0.13370594382286072,0.00011044627899536863,0.00011044986604247242,0.00011045078281313181,E. Tijan e S. Aksentijević,2014,Seaport cluster information systems — A foundation for Port Community Systems' architecture
doc028,7.58076785132289e-05,7.580909732496366e-05,0.005951127037405968,7.58071182644926e-05,0.0688304603099823,0.049852900207042694,7.580581586807966e-05,7.580551027785987e-05,0.7828090190887451,7.581111276522279e-05,0.07927535474300385,0.012826357036828995,Fahim et al.,2021,An information architecture to enable track-and-trace capability in Physical Internet ports
doc029,0.062354493886232376,0.010696961544454098,0.05193987861275673,8.375170727958903e-05,0.07450064271688461,0.14674536883831024,0.024709602817893028,8.375238394364715e-05,0.3198643922805786,8.375553443329409e-05,0.28939372301101685,0.019543670117855072,Fahim et al.,2021,The Physical Internet and Maritime Ports Ready for the Future
doc030,7.632781489519402e-05,0.1310131847858429,7.632222695974633e-05,7.632956840097904e-05,7.632943015778437e-05,7.632473716512322e-05,7.632597407791764e-05,7.632160850334913e-05,7.632099004695192e-05,0.14062146842479706,0.7276784777641296,7.631994958501309e-05,Farahat et al.,2025,THE ADOPTION OF SMART PORT TRANSFORMATION IN EGYPTIAN PORTS CONCEPTUAL FRAMEWORK
doc031,0.6212456226348877,8.096388046396896e-05,8.096781675703824e-05,0.24041561782360077,8.095983503153548e-05,8.096222882159054e-05,8.09636403573677e-05,0.036231834441423416,0.10145937651395798,8.096258534351364e-05,8.096579404082149e-05,8.096227975329384e-05,Fedi et al.,2019,The facilitating role of IT systems for legal compliance the case of port community systems and con
doc032,4.215415538055822e-05,4.2151386878686026e-05,0.02671799249947071,0.04952070116996765,4.215382432448678e-05,4.215293301967904e-05,4.2149647924816236e-05,4.214945147396065e-05,0.013061797246336937,4.215693479636684e-05,0.9103623032569885,4.215452281641774e-05,Franchi et al.,2025,Assessing digital maturity in ports development and application of a capability model for port acto
doc033,0.2152179330587387,0.06834177672863007,5.5111882829805836e-05,0.043366141617298126,0.23161809146404266,0.03687184676527977,0.04087065905332565,0.08566536754369736,5.5112992413342e-05,0.012768184766173363,0.2540069818496704,0.011162888258695602,Fruth e Teuteberg,2017,Digitization in maritime logistics—What is there and what is missing
